Loan_ID,Borrower_Name,Loan_Amount,Outstanding_Balance,Risk_Rating,Loan_Type,Origination_Date,Maturity_Date,Interest_Rate,Current_Status,Borrower_Industry,Credit_Score,Annual_Income,LTV_Ratio,Collateral_Type,Country,State,Reporting_Date
LN003078,Borrower_3078,23752,368619,High,Commercial,2023-06-05,2033-06-05,5.99,Default,Manufacturing,611,318980,0.78,Real Estate,USA,NY,2032-06-04
LN003079,Borrower_3079,496128,291458,Medium,Auto,2023-06-06,2033-06-06,2.58,Default,Retail,313,342663,0.23,Inventory,USA,MI,2032-06-05
LN003080,Borrower_3080,218277,315027,High,Auto,2023-06-07,2033-06-07,5.2,Current,Manufacturing,469,424561,0.74,Real Estate,Germany,FL,2032-06-06
LN003081,Borrower_3081,365596,488335,Low,Auto,2023-06-08,2033-06-08,11.25,Current,Technology,408,477239,0.1,Inventory,USA,GA,2032-06-07
LN003082,Borrower_3082,149467,350230,High,Mortgage,2023-06-09,2033-06-09,12.14,Delinquent,Healthcare,342,332999,0.93,Real Estate,Germany,GA,2032-06-08
LN003083,Borrower_3083,222029,197701,Medium,Commercial,2023-06-10,2033-06-10,6.0,Default,Healthcare,657,175985,0.84,None,USA,GA,2032-06-09
LN003084,Borrower_3084,388381,364435,Medium,Mortgage,2023-06-11,2033-06-11,7.6,Current,Manufacturing,774,337542,0.71,Inventory,Germany,GA,2032-06-10
LN003085,Borrower_3085,61273,243223,Medium,Mortgage,2023-06-12,2033-06-12,2.97,Current,Retail,374,457511,0.19,None,USA,OH,2032-06-11
LN003086,Borrower_3086,263503,10967,Medium,Auto,2023-06-13,2033-06-13,5.46,Current,Finance,606,98054,0.84,Inventory,France,GA,2032-06-12
LN003087,Borrower_3087,96878,213826,Low,Commercial,2023-06-14,2033-06-14,12.24,Current,Finance,804,385749,0.89,Real Estate,Canada,OH,2032-06-13
LN003088,Borrower_3088,272039,306364,High,Mortgage,2023-06-15,2033-06-15,10.07,Default,Retail,379,75922,0.72,Real Estate,Germany,MI,2032-06-14
LN003089,Borrower_3089,124968,206235,Medium,Personal,2023-06-16,2033-06-16,5.07,Delinquent,Manufacturing,793,409898,0.98,None,France,CA,2032-06-15
LN003090,Borrower_3090,382844,399163,High,Personal,2023-06-17,2033-06-17,5.72,Current,Manufacturing,558,285442,0.18,None,Canada,FL,2032-06-16
LN003091,Borrower_3091,81559,171491,Low,Commercial,2023-06-18,2033-06-18,12.71,Current,Technology,803,102647,0.74,Inventory,Canada,FL,2032-06-17
LN003092,Borrower_3092,15699,319275,High,Mortgage,2023-06-19,2033-06-19,5.11,Delinquent,Finance,627,31763,0.57,Equipment,France,FL,2032-06-18
LN003093,Borrower_3093,201133,482930,High,Auto,2023-06-20,2033-06-20,6.68,Default,Finance,410,326124,0.23,Equipment,UK,TX,2032-06-19
LN003094,Borrower_3094,14715,29876,Medium,Mortgage,2023-06-21,2033-06-21,10.8,Current,Healthcare,813,352638,0.69,Equipment,UK,NY,2032-06-20
LN003095,Borrower_3095,24169,220516,Medium,Personal,2023-06-22,2033-06-22,9.51,Delinquent,Manufacturing,840,301465,0.82,Equipment,Germany,PA,2032-06-21
LN003096,Borrower_3096,123413,364592,Low,Personal,2023-06-23,2033-06-23,8.26,Delinquent,Retail,546,318935,0.25,Real Estate,UK,IL,2032-06-22
LN003097,Borrower_3097,414379,152043,High,Auto,2023-06-24,2033-06-24,13.75,Default,Manufacturing,520,181278,0.81,None,Germany,TX,2032-06-23
LN003098,Borrower_3098,124264,456755,Low,Commercial,2023-06-25,2033-06-25,5.25,Delinquent,Manufacturing,614,71165,0.18,Equipment,France,OH,2032-06-24
LN003099,Borrower_3099,272926,230192,Low,Mortgage,2023-06-26,2033-06-26,11.77,Default,Technology,694,392636,0.63,Equipment,UK,PA,2032-06-25
LN003100,Borrower_3100,224249,312372,Low,Personal,2023-06-27,2033-06-27,4.49,Delinquent,Retail,779,87369,0.82,None,UK,FL,2032-06-26
LN003101,Borrower_3101,129481,255767,Medium,Mortgage,2023-06-28,2033-06-28,10.2,Current,Technology,323,396581,0.23,Inventory,USA,GA,2032-06-27
LN003102,Borrower_3102,220400,337639,Medium,Auto,2023-06-29,2033-06-29,13.38,Default,Technology,540,65058,0.61,Inventory,USA,FL,2032-06-28
LN003103,Borrower_3103,40585,253313,High,Auto,2023-06-30,2033-06-30,8.22,Delinquent,Technology,651,406523,0.48,Real Estate,Canada,GA,2032-06-29
LN003104,Borrower_3104,297826,29261,High,Commercial,2023-07-01,2033-07-01,11.55,Current,Technology,652,97129,0.65,Inventory,USA,TX,2032-06-30
LN003105,Borrower_3105,183936,107601,High,Auto,2023-07-02,2033-07-02,12.75,Delinquent,Manufacturing,649,212353,0.48,Equipment,France,OH,2032-07-01
LN003106,Borrower_3106,397136,62260,Medium,Commercial,2023-07-03,2033-07-03,4.2,Current,Healthcare,393,82784,0.33,None,Germany,OH,2032-07-02
LN003107,Borrower_3107,351560,499214,Medium,Mortgage,2023-07-04,2033-07-04,11.32,Default,Manufacturing,626,78251,0.33,Equipment,Germany,NY,2032-07-03
LN003108,Borrower_3108,453330,475587,Low,Personal,2023-07-05,2033-07-05,14.0,Current,Technology,352,58435,0.88,None,USA,NY,2032-07-04
LN003109,Borrower_3109,394954,479009,Medium,Personal,2023-07-06,2033-07-06,9.7,Delinquent,Technology,669,33495,0.24,Real Estate,USA,CA,2032-07-05
LN003110,Borrower_3110,43067,397562,Low,Commercial,2023-07-07,2033-07-07,4.83,Current,Healthcare,393,194259,0.21,Real Estate,Germany,FL,2032-07-06
LN003111,Borrower_3111,178757,490559,Low,Personal,2023-07-08,2033-07-08,4.09,Current,Finance,744,474780,0.19,Equipment,Canada,CA,2032-07-07
LN003112,Borrower_3112,258334,490170,Medium,Commercial,2023-07-09,2033-07-09,5.75,Default,Retail,589,181439,0.17,Inventory,UK,NC,2032-07-08
LN003113,Borrower_3113,23073,57176,Low,Commercial,2023-07-10,2033-07-10,3.79,Current,Technology,657,33751,0.11,Inventory,Canada,NC,2032-07-09
LN003114,Borrower_3114,41035,315444,Low,Mortgage,2023-07-11,2033-07-11,8.92,Current,Technology,360,363434,0.24,Real Estate,France,IL,2032-07-10
LN003115,Borrower_3115,201049,143412,High,Mortgage,2023-07-12,2033-07-12,3.37,Delinquent,Manufacturing,778,329632,0.27,None,France,CA,2032-07-11
LN003116,Borrower_3116,238782,296156,Low,Auto,2023-07-13,2033-07-13,5.29,Delinquent,Technology,551,161308,0.34,None,UK,MI,2032-07-12
LN003117,Borrower_3117,95373,167465,Medium,Commercial,2023-07-14,2033-07-14,8.0,Default,Technology,480,395919,0.21,Real Estate,UK,PA,2032-07-13
LN003118,Borrower_3118,350506,103153,Medium,Mortgage,2023-07-15,2033-07-15,8.42,Default,Retail,447,391333,0.18,Real Estate,Canada,TX,2032-07-14
LN003119,Borrower_3119,95517,469349,Low,Commercial,2023-07-16,2033-07-16,9.57,Default,Manufacturing,345,218618,0.59,Equipment,Germany,CA,2032-07-15
LN003120,Borrower_3120,70450,419773,High,Commercial,2023-07-17,2033-07-17,11.32,Delinquent,Finance,417,376174,0.75,Inventory,UK,GA,2032-07-16
LN003121,Borrower_3121,15382,458420,Medium,Commercial,2023-07-18,2033-07-18,3.09,Current,Technology,392,487607,0.67,Inventory,Canada,NY,2032-07-17
LN003122,Borrower_3122,402653,336417,Medium,Mortgage,2023-07-19,2033-07-19,3.51,Default,Technology,842,454503,0.6,Inventory,Canada,PA,2032-07-18
LN003123,Borrower_3123,207043,375472,High,Commercial,2023-07-20,2033-07-20,3.26,Delinquent,Finance,512,373104,0.5,Equipment,Germany,OH,2032-07-19
LN003124,Borrower_3124,462828,373448,Low,Commercial,2023-07-21,2033-07-21,7.79,Delinquent,Healthcare,453,264119,0.67,Real Estate,Canada,GA,2032-07-20
LN003125,Borrower_3125,226427,369781,Medium,Auto,2023-07-22,2033-07-22,3.02,Default,Finance,778,360556,0.91,Inventory,France,OH,2032-07-21
LN003126,Borrower_3126,66929,149348,Low,Commercial,2023-07-23,2033-07-23,11.83,Delinquent,Finance,746,225064,0.66,Equipment,Germany,FL,2032-07-22
LN003127,Borrower_3127,238483,317783,Low,Auto,2023-07-24,2033-07-24,5.29,Current,Manufacturing,577,168922,0.15,None,USA,CA,2032-07-23
LN003128,Borrower_3128,233590,385083,Low,Commercial,2023-07-25,2033-07-25,14.24,Delinquent,Finance,612,94821,0.61,Inventory,Canada,PA,2032-07-24
LN003129,Borrower_3129,366008,8310,Low,Auto,2023-07-26,2033-07-26,8.58,Delinquent,Manufacturing,740,146940,0.57,None,UK,NC,2032-07-25
LN003130,Borrower_3130,148401,167239,Medium,Mortgage,2023-07-27,2033-07-27,8.08,Current,Finance,453,418870,0.51,Equipment,UK,OH,2032-07-26
LN003131,Borrower_3131,261677,366088,High,Mortgage,2023-07-28,2033-07-28,12.26,Default,Technology,454,375669,0.61,Inventory,Germany,PA,2032-07-27
LN003132,Borrower_3132,292313,479096,Medium,Personal,2023-07-29,2033-07-29,11.41,Delinquent,Technology,836,283380,0.71,Real Estate,UK,FL,2032-07-28
LN003133,Borrower_3133,92468,142463,High,Commercial,2023-07-30,2033-07-30,10.09,Current,Healthcare,700,128304,0.13,Inventory,UK,OH,2032-07-29
LN003134,Borrower_3134,39594,123013,Low,Personal,2023-07-31,2033-07-31,14.19,Default,Finance,613,495745,0.53,Equipment,USA,NC,2032-07-30
LN003135,Borrower_3135,475173,182693,High,Personal,2023-08-01,2033-08-01,7.78,Current,Retail,322,341497,0.84,None,UK,PA,2032-07-31
LN003136,Borrower_3136,196703,142964,Low,Auto,2023-08-02,2033-08-02,12.61,Delinquent,Finance,605,136721,0.58,Inventory,Germany,PA,2032-08-01
LN003137,Borrower_3137,50033,339877,Medium,Mortgage,2023-08-03,2033-08-03,7.25,Current,Retail,699,108600,0.16,Equipment,Germany,CA,2032-08-02
LN003138,Borrower_3138,68133,210658,Medium,Commercial,2023-08-04,2033-08-04,12.98,Default,Finance,651,346511,0.8,Equipment,France,CA,2032-08-03
LN003139,Borrower_3139,471381,430358,High,Commercial,2023-08-05,2033-08-05,5.74,Default,Manufacturing,510,307269,0.95,Inventory,Canada,PA,2032-08-04
LN003140,Borrower_3140,78861,439895,Low,Auto,2023-08-06,2033-08-06,6.12,Default,Technology,395,85282,0.87,Equipment,Canada,NY,2032-08-05
LN003141,Borrower_3141,188362,173687,Low,Personal,2023-08-07,2033-08-07,10.97,Current,Retail,732,381666,0.43,None,Canada,MI,2032-08-06
LN003142,Borrower_3142,492247,179625,High,Auto,2023-08-08,2033-08-08,5.16,Current,Retail,659,243501,0.58,None,Germany,GA,2032-08-07
LN003143,Borrower_3143,298894,110264,Low,Personal,2023-08-09,2033-08-09,5.36,Default,Finance,348,275465,0.63,None,UK,MI,2032-08-08
LN003144,Borrower_3144,493371,80071,Low,Commercial,2023-08-10,2033-08-10,6.32,Default,Technology,520,131369,0.74,Equipment,Canada,NC,2032-08-09
LN003145,Borrower_3145,45461,173074,Low,Auto,2023-08-11,2033-08-11,10.99,Default,Healthcare,305,248417,0.7,None,UK,PA,2032-08-10
LN003146,Borrower_3146,472016,385755,Medium,Personal,2023-08-12,2033-08-12,13.62,Delinquent,Retail,354,24294,0.28,Real Estate,UK,NC,2032-08-11
LN003147,Borrower_3147,83222,71658,Medium,Auto,2023-08-13,2033-08-13,10.93,Delinquent,Technology,314,136877,0.86,Real Estate,France,NY,2032-08-12
LN003148,Borrower_3148,117020,10852,Medium,Mortgage,2023-08-14,2033-08-14,12.85,Delinquent,Technology,822,373520,0.86,Real Estate,Canada,MI,2032-08-13
LN003149,Borrower_3149,291370,268531,Low,Auto,2023-08-15,2033-08-15,9.29,Default,Retail,682,402160,0.46,Equipment,Germany,CA,2032-08-14
LN003150,Borrower_3150,273865,390715,Medium,Commercial,2023-08-16,2033-08-16,3.36,Delinquent,Manufacturing,466,309917,0.22,Inventory,Germany,FL,2032-08-15
LN003151,Borrower_3151,454370,360439,Low,Auto,2023-08-17,2033-08-17,3.76,Default,Manufacturing,675,242473,0.65,Inventory,France,NY,2032-08-16
LN003152,Borrower_3152,25609,131381,Low,Commercial,2023-08-18,2033-08-18,9.43,Current,Finance,373,135042,0.42,Real Estate,Canada,NY,2032-08-17
LN003153,Borrower_3153,450346,303138,High,Commercial,2023-08-19,2033-08-19,6.6,Default,Finance,484,104784,0.77,Equipment,UK,IL,2032-08-18
LN003154,Borrower_3154,135513,235484,Low,Auto,2023-08-20,2033-08-20,5.26,Default,Technology,387,345612,0.38,Real Estate,Canada,PA,2032-08-19
LN003155,Borrower_3155,208981,380056,Medium,Auto,2023-08-21,2033-08-21,8.33,Delinquent,Retail,655,339450,0.34,Real Estate,Germany,GA,2032-08-20
LN003156,Borrower_3156,109211,494630,Medium,Auto,2023-08-22,2033-08-22,10.83,Current,Manufacturing,364,146909,0.88,None,Germany,TX,2032-08-21
LN003157,Borrower_3157,191321,427941,Low,Mortgage,2023-08-23,2033-08-23,7.31,Current,Technology,572,87759,0.65,Equipment,Germany,CA,2032-08-22
LN003158,Borrower_3158,447111,204754,Medium,Mortgage,2023-08-24,2033-08-24,12.53,Current,Manufacturing,490,81826,0.18,Real Estate,UK,CA,2032-08-23
LN003159,Borrower_3159,492689,132632,Low,Personal,2023-08-25,2033-08-25,11.73,Delinquent,Retail,337,137806,0.72,None,Germany,MI,2032-08-24
LN003160,Borrower_3160,403872,387354,High,Auto,2023-08-26,2033-08-26,11.69,Delinquent,Manufacturing,673,264283,0.78,Equipment,Canada,GA,2032-08-25
LN003161,Borrower_3161,392009,319709,Low,Personal,2023-08-27,2033-08-27,14.81,Delinquent,Healthcare,679,219448,0.31,Real Estate,UK,MI,2032-08-26
LN003162,Borrower_3162,341664,264456,Low,Personal,2023-08-28,2033-08-28,6.19,Delinquent,Finance,336,367782,0.97,Inventory,Canada,TX,2032-08-27
LN003163,Borrower_3163,461956,412421,High,Commercial,2023-08-29,2033-08-29,10.56,Delinquent,Manufacturing,551,488812,0.44,Real Estate,USA,NC,2032-08-28
LN003164,Borrower_3164,331453,389026,Medium,Personal,2023-08-30,2033-08-30,13.19,Default,Retail,434,196760,0.95,Inventory,USA,NC,2032-08-29
LN003165,Borrower_3165,34984,405811,High,Auto,2023-08-31,2033-08-31,9.74,Current,Retail,310,257734,0.36,None,UK,MI,2032-08-30
LN003166,Borrower_3166,123947,88566,High,Mortgage,2023-09-01,2033-09-01,12.37,Delinquent,Healthcare,501,121930,0.65,Real Estate,Germany,NC,2032-08-31
LN003167,Borrower_3167,209894,284473,Low,Personal,2023-09-02,2033-09-02,7.68,Current,Retail,633,485453,0.57,None,Germany,PA,2032-09-01
LN003168,Borrower_3168,10901,235750,Low,Personal,2023-09-03,2033-09-03,9.88,Delinquent,Healthcare,718,68344,0.99,None,UK,PA,2032-09-02
LN003169,Borrower_3169,167624,331331,High,Mortgage,2023-09-04,2033-09-04,3.2,Default,Technology,537,484170,0.47,Real Estate,Canada,GA,2032-09-03
LN003170,Borrower_3170,227317,76542,Medium,Personal,2023-09-05,2033-09-05,14.82,Current,Manufacturing,719,442684,0.26,None,USA,MI,2032-09-04
LN003171,Borrower_3171,298199,109237,High,Auto,2023-09-06,2033-09-06,12.5,Delinquent,Retail,753,478066,0.85,Inventory,Germany,NY,2032-09-05
LN003172,Borrower_3172,173757,377620,Medium,Personal,2023-09-07,2033-09-07,13.36,Default,Finance,607,266886,0.14,Real Estate,Germany,OH,2032-09-06
LN003173,Borrower_3173,472181,298789,High,Commercial,2023-09-08,2033-09-08,11.18,Default,Manufacturing,469,364149,0.9,Equipment,USA,PA,2032-09-07
LN003174,Borrower_3174,150788,88502,High,Personal,2023-09-09,2033-09-09,4.83,Current,Healthcare,448,89313,0.2,Inventory,UK,IL,2032-09-08
LN003175,Borrower_3175,119099,487598,Medium,Commercial,2023-09-10,2033-09-10,2.89,Delinquent,Manufacturing,800,48373,0.61,Equipment,UK,TX,2032-09-09
LN003176,Borrower_3176,16138,350454,High,Mortgage,2023-09-11,2033-09-11,13.31,Default,Manufacturing,812,132482,0.74,Equipment,UK,NY,2032-09-10
LN003177,Borrower_3177,171370,332763,Low,Mortgage,2023-09-12,2033-09-12,7.45,Default,Retail,751,68353,0.4,Inventory,Germany,MI,2032-09-11
LN003178,Borrower_3178,449328,296657,High,Personal,2023-09-13,2033-09-13,5.8,Default,Finance,821,23572,0.86,None,Canada,TX,2032-09-12
LN003179,Borrower_3179,28429,9749,Low,Personal,2023-09-14,2033-09-14,9.52,Current,Technology,739,150756,0.63,None,France,OH,2032-09-13
LN003180,Borrower_3180,55200,162855,Medium,Mortgage,2023-09-15,2033-09-15,7.76,Current,Finance,446,448698,0.46,Real Estate,UK,PA,2032-09-14
LN003181,Borrower_3181,207380,61645,Medium,Commercial,2023-09-16,2033-09-16,10.65,Delinquent,Healthcare,597,91505,0.39,Equipment,France,CA,2032-09-15
LN003182,Borrower_3182,446460,214933,Low,Mortgage,2023-09-17,2033-09-17,8.55,Delinquent,Finance,669,377743,0.2,None,Canada,CA,2032-09-16
LN003183,Borrower_3183,253289,54175,High,Mortgage,2023-09-18,2033-09-18,11.22,Current,Finance,532,136738,0.68,None,Germany,TX,2032-09-17
LN003184,Borrower_3184,250127,478432,Low,Commercial,2023-09-19,2033-09-19,13.17,Current,Healthcare,423,170327,0.43,Real Estate,France,TX,2032-09-18
LN003185,Borrower_3185,368412,456925,Low,Mortgage,2023-09-20,2033-09-20,4.94,Current,Finance,710,153998,0.39,Equipment,UK,CA,2032-09-19
LN003186,Borrower_3186,241513,149395,Medium,Personal,2023-09-21,2033-09-21,6.62,Default,Technology,547,232287,0.95,Inventory,France,MI,2032-09-20
LN003187,Borrower_3187,22347,51762,Low,Personal,2023-09-22,2033-09-22,7.96,Current,Manufacturing,761,84276,0.35,Inventory,USA,NY,2032-09-21
LN003188,Borrower_3188,152992,482436,High,Mortgage,2023-09-23,2033-09-23,14.53,Delinquent,Technology,681,102967,0.89,Equipment,Canada,TX,2032-09-22
LN003189,Borrower_3189,36822,65222,Low,Personal,2023-09-24,2033-09-24,7.07,Default,Manufacturing,397,287737,0.98,None,USA,NY,2032-09-23
LN003190,Borrower_3190,444875,428709,Medium,Auto,2023-09-25,2033-09-25,7.26,Current,Manufacturing,405,371891,0.84,None,Canada,FL,2032-09-24
LN003191,Borrower_3191,45108,190400,High,Mortgage,2023-09-26,2033-09-26,10.67,Delinquent,Finance,749,62803,0.12,Inventory,Canada,NY,2032-09-25
LN003192,Borrower_3192,396099,256539,Medium,Auto,2023-09-27,2033-09-27,7.74,Current,Manufacturing,412,411692,0.88,Equipment,Germany,NY,2032-09-26
LN003193,Borrower_3193,487315,13213,Low,Mortgage,2023-09-28,2033-09-28,14.39,Delinquent,Healthcare,779,145893,0.29,None,Canada,FL,2032-09-27
LN003194,Borrower_3194,12967,98367,Low,Mortgage,2023-09-29,2033-09-29,13.68,Default,Technology,768,422649,0.42,Real Estate,Canada,PA,2032-09-28
LN003195,Borrower_3195,377863,179002,Medium,Auto,2023-09-30,2033-09-30,8.92,Default,Manufacturing,665,327695,0.99,Equipment,UK,PA,2032-09-29
LN003196,Borrower_3196,16871,159785,Medium,Mortgage,2023-10-01,2033-10-01,10.56,Delinquent,Finance,638,465098,0.46,Equipment,USA,FL,2032-09-30
LN003197,Borrower_3197,230371,108157,High,Personal,2023-10-02,2033-10-02,3.23,Delinquent,Finance,475,440701,0.69,Equipment,France,OH,2032-10-01
LN003198,Borrower_3198,213524,466939,Medium,Auto,2023-10-03,2033-10-03,11.2,Default,Finance,595,110701,0.38,Inventory,Germany,MI,2032-10-02
LN003199,Borrower_3199,210342,230408,Medium,Mortgage,2023-10-04,2033-10-04,11.34,Default,Retail,393,148750,0.43,Inventory,Canada,CA,2032-10-03
LN003200,Borrower_3200,169685,33583,Low,Personal,2023-10-05,2033-10-05,6.99,Delinquent,Technology,654,369940,0.64,None,UK,GA,2032-10-04
LN003201,Borrower_3201,33179,129792,Low,Auto,2023-10-06,2033-10-06,5.25,Delinquent,Finance,367,343492,0.95,None,Canada,IL,2032-10-05
LN003202,Borrower_3202,256537,80944,Medium,Auto,2023-10-07,2033-10-07,13.94,Current,Healthcare,448,280088,0.35,Inventory,Germany,PA,2032-10-06
LN003203,Borrower_3203,188260,23369,Medium,Personal,2023-10-08,2033-10-08,7.83,Current,Finance,304,252549,0.32,None,USA,NY,2032-10-07
LN003204,Borrower_3204,322243,180000,Low,Mortgage,2023-10-09,2033-10-09,10.67,Default,Retail,545,478781,0.12,Equipment,France,FL,2032-10-08
LN003205,Borrower_3205,40262,463166,High,Mortgage,2023-10-10,2033-10-10,2.92,Default,Technology,743,122158,0.28,Inventory,UK,OH,2032-10-09
LN003206,Borrower_3206,345357,378988,High,Auto,2023-10-11,2033-10-11,7.68,Current,Manufacturing,483,272370,0.34,None,Germany,PA,2032-10-10
LN003207,Borrower_3207,384551,20510,High,Commercial,2023-10-12,2033-10-12,12.72,Current,Technology,586,288490,0.16,Inventory,Germany,CA,2032-10-11
LN003208,Borrower_3208,416484,13120,High,Mortgage,2023-10-13,2033-10-13,7.34,Default,Manufacturing,511,69875,0.61,Inventory,Canada,OH,2032-10-12
LN003209,Borrower_3209,476082,100847,Low,Mortgage,2023-10-14,2033-10-14,10.04,Default,Manufacturing,836,392888,0.21,Inventory,UK,GA,2032-10-13
LN003210,Borrower_3210,353413,99575,Medium,Personal,2023-10-15,2033-10-15,5.12,Delinquent,Finance,516,344261,0.56,Inventory,France,GA,2032-10-14
LN003211,Borrower_3211,65545,392413,High,Commercial,2023-10-16,2033-10-16,7.71,Delinquent,Healthcare,784,366154,0.27,Equipment,Germany,TX,2032-10-15
LN003212,Borrower_3212,239555,268439,Low,Commercial,2023-10-17,2033-10-17,14.1,Default,Healthcare,634,493501,0.94,Equipment,France,PA,2032-10-16
LN003213,Borrower_3213,228894,21460,Medium,Auto,2023-10-18,2033-10-18,9.58,Current,Finance,471,332871,0.38,None,USA,NY,2032-10-17
LN003214,Borrower_3214,208218,15963,High,Personal,2023-10-19,2033-10-19,13.77,Delinquent,Retail,818,55258,0.18,Inventory,Canada,FL,2032-10-18
LN003215,Borrower_3215,470182,340260,Medium,Personal,2023-10-20,2033-10-20,13.78,Default,Manufacturing,606,136886,0.85,Inventory,France,IL,2032-10-19
LN003216,Borrower_3216,307066,482038,High,Mortgage,2023-10-21,2033-10-21,14.3,Current,Healthcare,452,469579,0.46,Equipment,Germany,GA,2032-10-20
LN003217,Borrower_3217,477580,28328,Medium,Auto,2023-10-22,2033-10-22,13.69,Current,Technology,786,386160,0.84,None,Germany,TX,2032-10-21
LN003218,Borrower_3218,47913,347773,High,Mortgage,2023-10-23,2033-10-23,2.54,Default,Retail,710,336672,0.38,Equipment,Germany,GA,2032-10-22
LN003219,Borrower_3219,364177,125034,High,Commercial,2023-10-24,2033-10-24,14.18,Delinquent,Finance,720,138249,0.55,Inventory,Germany,IL,2032-10-23
LN003220,Borrower_3220,371936,22605,Medium,Personal,2023-10-25,2033-10-25,4.22,Delinquent,Retail,610,73197,0.5,Real Estate,UK,TX,2032-10-24
LN003221,Borrower_3221,255497,374045,Medium,Auto,2023-10-26,2033-10-26,3.0,Default,Healthcare,786,365190,0.6,None,Canada,CA,2032-10-25
LN003222,Borrower_3222,453893,176885,Medium,Mortgage,2023-10-27,2033-10-27,3.19,Current,Finance,799,73116,0.46,Inventory,UK,GA,2032-10-26
LN003223,Borrower_3223,448057,178443,Low,Mortgage,2023-10-28,2033-10-28,6.86,Delinquent,Healthcare,391,212337,0.55,Real Estate,UK,PA,2032-10-27
LN003224,Borrower_3224,182404,109241,Low,Commercial,2023-10-29,2033-10-29,10.26,Default,Manufacturing,792,308296,0.71,Inventory,Canada,PA,2032-10-28
LN003225,Borrower_3225,490278,310742,Medium,Personal,2023-10-30,2033-10-30,7.53,Delinquent,Retail,371,215389,0.47,None,Germany,CA,2032-10-29
LN003226,Borrower_3226,387007,192848,Low,Commercial,2023-10-31,2033-10-31,2.82,Default,Manufacturing,376,459995,0.72,None,USA,MI,2032-10-30
LN003227,Borrower_3227,493910,255289,High,Mortgage,2023-11-01,2033-11-01,8.46,Delinquent,Technology,345,64239,0.74,None,UK,IL,2032-10-31
LN003228,Borrower_3228,161104,335402,Medium,Personal,2023-11-02,2033-11-02,8.03,Delinquent,Manufacturing,814,78761,0.77,Real Estate,France,NC,2032-11-01
LN003229,Borrower_3229,173918,304113,Low,Personal,2023-11-03,2033-11-03,11.96,Delinquent,Retail,633,253579,0.52,Real Estate,UK,PA,2032-11-02
LN003230,Borrower_3230,195546,168984,Medium,Commercial,2023-11-04,2033-11-04,6.0,Default,Technology,514,206696,0.1,Inventory,Canada,GA,2032-11-03
LN003231,Borrower_3231,49936,170446,High,Personal,2023-11-05,2033-11-05,5.22,Default,Healthcare,376,416621,0.78,None,UK,MI,2032-11-04
LN003232,Borrower_3232,165866,204374,High,Commercial,2023-11-06,2033-11-06,5.7,Current,Technology,788,242715,0.92,Equipment,France,GA,2032-11-05
LN003233,Borrower_3233,197660,63784,Low,Personal,2023-11-07,2033-11-07,6.3,Delinquent,Retail,530,51425,0.69,Equipment,UK,OH,2032-11-06
LN003234,Borrower_3234,207056,444098,High,Personal,2023-11-08,2033-11-08,9.99,Delinquent,Finance,349,27736,0.57,None,USA,NY,2032-11-07
LN003235,Borrower_3235,448547,410144,Medium,Auto,2023-11-09,2033-11-09,8.39,Default,Technology,406,450712,0.6,Equipment,UK,NY,2032-11-08
LN003236,Borrower_3236,230469,22274,Low,Personal,2023-11-10,2033-11-10,6.71,Delinquent,Healthcare,731,398665,0.68,Equipment,France,FL,2032-11-09
LN003237,Borrower_3237,33141,130994,Medium,Mortgage,2023-11-11,2033-11-11,7.18,Default,Technology,797,330197,1.0,None,Germany,CA,2032-11-10
LN003238,Borrower_3238,407290,297560,Medium,Auto,2023-11-12,2033-11-12,7.14,Current,Manufacturing,306,90228,0.16,Inventory,USA,GA,2032-11-11
LN003239,Borrower_3239,142478,218220,Medium,Commercial,2023-11-13,2033-11-13,14.66,Delinquent,Finance,591,221129,0.12,Real Estate,Germany,FL,2032-11-12
LN003240,Borrower_3240,102359,193070,High,Mortgage,2023-11-14,2033-11-14,5.41,Default,Retail,641,31841,0.97,Equipment,UK,IL,2032-11-13
LN003241,Borrower_3241,390423,363578,Medium,Commercial,2023-11-15,2033-11-15,12.73,Default,Finance,579,457829,0.5,None,France,CA,2032-11-14
LN003242,Borrower_3242,159363,244768,High,Commercial,2023-11-16,2033-11-16,11.35,Delinquent,Manufacturing,835,49578,0.65,Inventory,Canada,GA,2032-11-15
LN003243,Borrower_3243,46568,423263,Medium,Mortgage,2023-11-17,2033-11-17,2.57,Current,Finance,611,329480,0.78,None,USA,MI,2032-11-16
LN003244,Borrower_3244,102539,437572,High,Commercial,2023-11-18,2033-11-18,14.91,Default,Manufacturing,790,247778,0.77,Inventory,France,OH,2032-11-17
LN003245,Borrower_3245,51851,169206,High,Auto,2023-11-19,2033-11-19,11.96,Delinquent,Technology,376,20754,0.68,Equipment,Canada,OH,2032-11-18
LN003246,Borrower_3246,498158,461258,High,Mortgage,2023-11-20,2033-11-20,11.03,Current,Retail,423,33578,0.52,Equipment,USA,MI,2032-11-19
LN003247,Borrower_3247,59823,314454,Medium,Commercial,2023-11-21,2033-11-21,7.57,Default,Manufacturing,583,190499,0.62,Equipment,USA,NC,2032-11-20
LN003248,Borrower_3248,28312,343902,Medium,Commercial,2023-11-22,2033-11-22,9.44,Current,Manufacturing,781,67694,0.76,Equipment,UK,NC,2032-11-21
LN003249,Borrower_3249,441324,144435,High,Personal,2023-11-23,2033-11-23,5.67,Default,Technology,523,449785,0.87,Inventory,Canada,OH,2032-11-22
